PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
37-700;Wydział Terenowy Transportu Przemyśl;Przemyśl;Wernyhory;23;Przemyśl;Przemyśl;podkarpackie
35-900;Wydział Ekspedycyjno - Rozdzielczy Rudna Mała;Rudna Mała;;47 M;Głogów Małopolski;rzeszowski;podkarpackie
35-083;Wydział Terenowy Transportu Rzeszów;Rzeszów;Adama Matuszczaka;5;Rzeszów;Rzeszów;podkarpackie
33-100;Wydział Terenowy Transportu Tarnów;Tarnów;Mieczysława Jastruna;3;Tarnów;Tarnów;małopolskie
20-900;POL Region Dystrybucji Lublin;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
21-500;Wydział Terenowy Transportu Biała Podlaska;Biała Podlaska;Łomaska;43 D;Biała Podlaska;Biała Podlaska;lubelskie
25-900;Wydział Ekspedycyjno-Rozdzielczy w Kielcach;Kielce;al. Solidarności;24;Kielce;Kielce;świętokrzyskie
25-313;Wydział Terenowy Transportu Kielce;Kielce;al. Solidarności;24;Kielce;Kielce;świętokrzyskie
26-610;Dział Ekspedycyjno-Rozdzielczy w Radomiu;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
20-900;Wydział Ekspedycyjno-Rozdzielczy w Lublinie;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
20-900;Wydział Terenowy Transportu Lublin;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
21-300;Dział Ekspedycyjno-Rozdzielczy w Radzyniu Podlaskim;Radzyń Podlaski;Jarosława Dąbrowskiego;18;Radzyń Podlaski;radzyński;lubelskie
22-400;Dział Ekspedycyjno-Rozdzielczy w Zamościu;Zamość;Karola Namysłowskiego;6;Zamość;Zamość;lubelskie
26-600;Wydział Terenowy Transportu Radom;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
22-400;Wydział Terenowy Transportu Zamość;Zamość;Karola Namysłowskiego;6;Zamość;Zamość;lubelskie
90-900;POL Region Dystrybucji Łódź;Łódź;al. Włókniarzy;227;Łódź;Łódź;łódzkie
94-104;Wydział Terenowy Transportu Łódź;Łódź;Obywatelska;121/129;Łódź;Łódź;łódzkie
90-900;Wydział Ekspedycyjno-Rozdzielczy w Łodzi;Łódź;al. Włókniarzy;227;Łódź;Łódź;łódzkie
60-900;POL Region Dystrybucji Poznań;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
66-400;Wydział Terenowy Transportu Gorzów Wielkopolski;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
62-800;Wydział Terenowy Transportu Kalisz;Kalisz;Zamkowa;18/20;Kalisz;Kalisz;wielkopolskie
60-900;Wydział Ekspedycyjno-Rozdzielczy w Komornikach;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
66-400;Dział Ekspedycyjno-Rozdzielczy w Gorzowie Wielkopolskim;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
63-410;Dział Ekspedycyjno-Rozdzielczy w Ostrowie Wielkopolskim;Ostrów Wielkopolski;Towarowa;3;Ostrów Wielkopolski;ostrowski;wielkopolskie
65-900;Dział Ekspedycyjno-Rozdzielczy w Zielonej Górze;Zielona Góra;Elektronowa;1;Zielona Góra;Zielona Góra;lubuskie
60-900;Wydział Terenowy Transportu Poznań;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
65-900;Wydział Terenowy Transportu Zielona Góra;Zielona Góra;Elektronowa;1;Zielona Góra;Zielona Góra;lubuskie
00-900;POL Region Dystrybucji Warszawa;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
06-400;Wydział Terenowy Transportu Ciechanów;Ciechanów;Gostkowska;39a;Ciechanów;ciechanowski;mazowieckie
07-410;Wydział Terenowy Transportu Ostrołęka;Ostrołęka;Targowa;24;Ostrołęka;Ostrołęka;mazowieckie
09-401;Wydział Terenowy Transportu Płock;Płock;Przemysłowa;19;Płock;Płock;mazowieckie
08-110;Wydział Terenowy Transportu Siedlce;Siedlce;Brzeska;124;Siedlce;Siedlce;mazowieckie
00-900;Wydział Ekspedycyjno-Rozdzielczy w Warszawie;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
03-450;Wydział Terenowy Transportu Warszawa;Warszawa;Ratuszowa;7/9;Warszawa;Warszawa;mazowieckie
00-900;Wydział Terenowy Transportu Warszawa;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
06-410;Dział Ekspedycyjno-Rozdzielczy w Ciechanowie;Ciechanów;Henryka Sienkiewicza;81;Ciechanów;ciechanowski;mazowieckie
07-410;Dział Ekspedycyjno-Rozdzielczy w Ostrołęce;Ostrołęka;Graniczna;8;Ostrołęka;Ostrołęka;mazowieckie
09-420;Dział Ekspedycyjno-Rozdzielczy w Płocku;Płock;Przemysłowa;19;Płock;Płock;mazowieckie
08-110;Dział Ekspedycyjno-Rozdzielczy w Siedlcach;Siedlce;pl. Stanisława Zdanowskiego;2;Siedlce;Siedlce;mazowieckie
50-900;POL Region Dystrybucji Wrocław;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
58-500;Wydział Terenowy Transportu Jelenia Góra;Jelenia Góra;Spółdzielcza;43;Jelenia Góra;Jelenia Góra;dolnośląskie
57-300;Wydział Terenowy Transportu Kłodzko;Kłodzko;Objazdowa;14;Kłodzko;kłodzki;dolnośląskie
59-220;Wydział Terenowy Transportu Legnica;Legnica;Poznańska;50;Legnica;Legnica;dolnośląskie
50-900;Wydział Terenowy Transportu Wrocław;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
50-900;Wydział Ekspedycyjno-Rozdzielczy we Wrocławiu;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
15-100;Region Sieci Białystok;Białystok;Bitwy Białostockiej;8 A;Białystok;Białystok;podlaskie
85-001;Region Sieci Bydgoszcz;Bydgoszcz;Jagiellońska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
80-940;Region Sieci Gdańsk;Gdańsk;Targ Rakowy;7/8;Gdańsk;Gdańsk;pomorskie
66-400;Region Sieci Gorzów Wielkopolski;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
40-940;Region Sieci Katowice;Katowice;Plac Oddziałów Młodzieży Powstańczej;7;Katowice;Katowice;śląskie
25-001;Region Sieci Kielce;Kielce;pl. Niepodległości;2;Kielce;Kielce;świętokrzyskie
30-940;Region Sieci Kraków;Kraków;Grochowska;2;Kraków;Kraków;małopolskie
20-001;Region Sieci Lublin;Lublin;Krakowskie Przedmieście;50;Lublin;Lublin;lubelskie
90-001;Region Sieci Łódź;Łódź;Juliana Tuwima;38;Łódź;Łódź;łódzkie
10-001;Region Sieci Olsztyn;Olsztyn;Seweryna Pieniężnego;21;Olsztyn;Olsztyn;warmińsko-mazurskie
45-076;Region Sieci Opole;Opole;Krakowska;46;Opole;Opole;opolskie
60-942;Region Sieci Poznań;Poznań;Tadeusza Kościuszki;77;Poznań;Poznań;wielkopolskie
35-959;Region Sieci Rzeszów;Rzeszów;Adama Asnyka;9;Rzeszów;Rzeszów;podkarpackie
70-405;Region Sieci Szczecin;Szczecin;al. Niepodległości;41/42;Szczecin;Szczecin;zachodniopomorskie
03-700;Region Sieci Warszawa-Miasto;Warszawa;Targowa;73;Warszawa;Warszawa;mazowieckie
00-965;Region Sieci Warszawa-Województwo;Warszawa;Towarowa;5;Warszawa;Warszawa;mazowieckie
50-945;Region Sieci Wrocław;Wrocław;Zygmunta Krasińskiego;1;Wrocław;Wrocław;dolnośląskie
85-940;Centrum Obsługi Finansowej Bydgoszcz;Bydgoszcz;Bernardyńska;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
41-902;Centrum Obsługi Finansowej Bytom;Bytom;Karola Miarki;4;Bytom;Bytom;śląskie
00-935;Centrum Skanowania PPUC skr. poczt. 100-999;Warszawa;Rodziny Hiszpańskich;8;Warszawa;Warszawa;mazowieckie
95-042;Wydział Niedoręczalnych Przesyłek;Koluszki;Kolejowa;4;Koluszki;łódzki wschodni;łódzkie
