PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
37-750;UP Dubiecko;Dubiecko;Rynek;1;Dubiecko;przemyski;podkarpackie
17-200;AP Dubiny;Dubiny;Główna;118;Hajnówka;hajnowski;podlaskie
05-206;AP Duczki;Duczki;Przytorowa;AP5;Wołomin;wołomiński;mazowieckie
06-330;AP Duczymin;Duczymin;;11;Chorzele;przasnyski;mazowieckie
38-450;UP Dukla;Dukla;Łąki;1;Dukla;krośnieński;podkarpackie
27-620;UP Dwikozy;Dwikozy;Spółdzielcza;15;Dwikozy;sandomierski;świętokrzyskie
36-204;UP Dydnia;Dydnia;;222;Dydnia;brzozowski;podkarpackie
36-069;AP Dylągowa;Dylągowa;;43a;Dynów;rzeszowski;podkarpackie
36-065;UP Dynów;Dynów;Mickiewicza;29;Dynów;rzeszowski;podkarpackie
13-202;AP Działdowo;Działdowo;Świerkowa;10;Działdowo;działdowski;warmińsko-mazurskie
13-200;UP Działdowo 1;Działdowo;Marii Skłodowskiej-Curie;12;Działdowo;działdowski;warmińsko-mazurskie
13-240;FUP Działdowo 1;Iłowo-Osada;Wyzwolenia;2A;Iłowo-Osada;działdowski;warmińsko-mazurskie
13-210;UP Działdowo 2;Działdowo;Marii Skłodowskiej-Curie;41;Działdowo;działdowski;warmińsko-mazurskie
13-201;UP Działdowo 3;Działdowo;Norwida;2 C;Działdowo;działdowski;warmińsko-mazurskie
13-214;FUP Działdowo 3;Uzdowo;;70;Działdowo;działdowski;warmińsko-mazurskie
98-355;UP Działoszyn;Działoszyn;Os. Józefa Piłsudskiego;28 D;Działoszyn;pajęczański;łódzkie
64-843;AP Dziembówko;Dziembówko;;44;Kaczory;pilski;wielkopolskie
83-425;UP Dziemiany;Dziemiany;Wyzwolenia;22;Dziemiany;kościerski;pomorskie
83-440;FUP Dziemiany;Karsin;Długa;74;Karsin;kościerski;pomorskie
62-606;AP Dzierawy;Dzierawy;;40;Koło;kolski;wielkopolskie
47-244;AP Dziergowice;Dziergowice;Dworcowa;35;Bierawa;kędzierzyńsko-kozielski;opolskie
82-440;UP Dzierzgoń;Dzierzgoń;Odrodzenia;9;Dzierzgoń;sztumski;pomorskie
82-450;FUP Dzierzgoń;Stary Dzierzgoń;;20;Stary Dzierzgoń;sztumski;pomorskie
06-520;UP Dzierzgowo;Dzierzgowo;Cicha;1;Dzierzgowo;mławski;mazowieckie
83-332;AP Dzierżążno;Dzierżążno;Kartuska;31 A;Kartuzy;kartuski;pomorskie
58-200;AP Dzierżoniów;Dzierżoniów;os. Osiedle Tęczowe;2 C;Dzierżoniów;dzierżoniowski;dolnośląskie
58-200;UP Dzierżoniów 1;Dzierżoniów;rynek Rynek;38;Dzierżoniów;dzierżoniowski;dolnośląskie
58-203;UP Dzierżoniów 2;Dzierżoniów;Henryka Sienkiewicza;22;Dzierżoniów;dzierżoniowski;dolnośląskie
58-210;FUP Dzierżoniów 2;Łagiewniki;Słowiańska;4;Łagiewniki;dzierżoniowski;dolnośląskie
58-230;FUP Dzierżoniów 2;Niemcza;Kolejowa;7;Niemcza;dzierżoniowski;dolnośląskie
58-204;UP Dzierżoniów 5;Dzierżoniów;os. Osiedle Jasne;23;Dzierżoniów;dzierżoniowski;dolnośląskie
66-446;AP Dzierżów;Dzierżów;;21;Deszczno;gorzowski;lubuskie
68-100;AP Dzietrzychowice;Dzietrzychowice;;70;Żagań;żagański;lubuskie
89-240;AP Dziewierzewo;Dziewierzewo;;30;Kcynia;nakielski;kujawsko-pomorskie
57-400;AP Dzikowiec;Dzikowiec;;84;Nowa Ruda;kłodzki;dolnośląskie
36-122;UP Dzikowiec k. Kolbuszowej;Dzikowiec;Księdza Stanisława Sudoła;11;Dzikowiec;kolbuszowski;podkarpackie
36-122;FUP Dzikowiec k. Kolbuszowej;Lipnica;;83;Dzikowiec;kolbuszowski;podkarpackie
36-121;FUP Dzikowiec k. Kolbuszowej;Wilcza Wola;Księdza Sokoła;2;Dzikowiec;kolbuszowski;podkarpackie
72-421;AP Dziwnówek;Dziwnówek;Wolności;16;Dziwnów;kamieński;zachodniopomorskie
73-121;AP Dzwonowo;Dzwonowo;;61;Marianowo;stargardzki;zachodniopomorskie
12-120;UP Dźwierzuty;Dźwierzuty;Niepodległości;13;Dźwierzuty;szczycieński;warmińsko-mazurskie
82-303;AP Elbląg;Elbląg;Brzozowa;5;Elbląg;Elbląg;warmińsko-mazurskie
82-309;AP Elbląg;Elbląg;Pułkownika Stanisława Dąbka;152/073;Elbląg;Elbląg;warmińsko-mazurskie
82-310;AP Elbląg;Elbląg;Grunwaldzka Al.;2;Elbląg;Elbląg;warmińsko-mazurskie
82-300;UP Elbląg 1;Elbląg;Plac Słowiański;1/3;Elbląg;Elbląg;warmińsko-mazurskie
82-315;FUP Elbląg 1;Elbląg;Józefa Chełmońskiego;8;Elbląg;Elbląg;warmińsko-mazurskie
82-317;FUP Elbląg 1;Elbląg;Fromborska;27A;Elbląg;Elbląg;warmińsko-mazurskie
82-302;FUP Elbląg 1;Elbląg;Michała Kajki;1;Elbląg;Elbląg;warmińsko-mazurskie
82-311;FUP Elbląg 1;Elbląg;Kosynierów Gdyńskich;54 A/1;Elbląg;Elbląg;warmińsko-mazurskie
82-300;FUP Elbląg 1;Elbląg;Lubraniecka;32;Elbląg;Elbląg;warmińsko-mazurskie
82-300;FUP Elbląg 1;Elbląg;Jana Szucha;3 A;Elbląg;Elbląg;warmińsko-mazurskie
82-310;UP Elbląg 2;Elbląg;Plac Dworcowy;2;Elbląg;Elbląg;warmińsko-mazurskie
82-305;FUP Elbląg 2;Elbląg;Generała Józefa Bema;29;Elbląg;Elbląg;warmińsko-mazurskie
82-310;FUP Elbląg 2;Elbląg;Kielecka;12;Elbląg;Elbląg;warmińsko-mazurskie
82-310;FUP Elbląg 2;Elbląg;Orla;5;Elbląg;Elbląg;warmińsko-mazurskie
82-310;FUP Elbląg 2;Elbląg;Stefana Żeromskiego;2;Elbląg;Elbląg;warmińsko-mazurskie
82-335;FUP Elbląg 2;Gronowo Elbląskie;Łączności;16;Gronowo Elbląskie;elbląski;warmińsko-mazurskie
82-304;FUP Elbląg 2;Gronowo Górne;Diamentowa;3;Elbląg;elbląski;warmińsko-mazurskie
82-325;FUP Elbląg 2;Markusy;Markusy;83;Markusy;elbląski;warmińsko-mazurskie
82-310;FUP Elbląg 2;Milejewo;Góra Maślana;4;Milejewo;elbląski;warmińsko-mazurskie
82-308;UP Elbląg 10;Elbląg;Nowowiejska;1;Elbląg;Elbląg;warmińsko-mazurskie
82-312;UP Elbląg 13;Elbląg;Aleja Odrodzenia;10;Elbląg;Elbląg;warmińsko-mazurskie
82-314;UP Elbląg 15;Elbląg;Ogólna;55;Elbląg;Elbląg;warmińsko-mazurskie
17-222;AP Eliaszuki;Eliaszuki;;10;Narewka;hajnowski;podlaskie
83-034;AP Ełganowo;Ełganowo;Asfaltowa;11;Trąbki Wielkie;gdański;pomorskie
19-302;AP Ełk;Ełk;Jana Pawła II;20/5;Ełk;ełcki;warmińsko-mazurskie
19-302;AP Ełk;Ełk;Adama Mickiewicza;19;Ełk;ełcki;warmińsko-mazurskie
19-307;AP Ełk;Ełk;Suwalska;84/lok.103;Ełk;ełcki;warmińsko-mazurskie
19-300;UP Ełk 1;Ełk;Fryderyka Chopina;1;Ełk;ełcki;warmińsko-mazurskie
19-305;FUP Ełk 1;Ełk;gen. Grota-Roweckiego;1;Ełk;ełcki;warmińsko-mazurskie
19-301;FUP Ełk 1;Ełk;Jana Pawła II;3 B;Ełk;ełcki;warmińsko-mazurskie
19-303;FUP Ełk 1;Ełk;gen. Władysława Sikorskiego;3 A;Ełk;ełcki;warmińsko-mazurskie
19-300;FUP Ełk 1;Ełk;Suwalska;19;Ełk;ełcki;warmińsko-mazurskie
19-300;FUP Ełk 1;Ełk;Juliana Tuwima;22/3U;Ełk;ełcki;warmińsko-mazurskie
19-314;FUP Ełk 1;Kalinowo;Mazurska;8;Kalinowo;ełcki;warmińsko-mazurskie
19-335;FUP Ełk 1;Prostki;1 Maja;43;Prostki;ełcki;warmińsko-mazurskie
19-330;FUP Ełk 1;Stare Juchy;Ełcka;15;Stare Juchy;ełcki;warmińsko-mazurskie
19-304;UP Ełk 6;Ełk;Jana Kilińskiego;40;Ełk;ełcki;warmińsko-mazurskie
87-811;UP Fabianki;Fabianki;;3;Fabianki;włocławski;kujawsko-pomorskie
21-060;UP Fajsławice;Fajsławice;;107;Fajsławice;krasnostawski;lubelskie
16-424;UP Filipów;Filipów;1 Maja;1;Filipów;suwalski;podlaskie
21-136;UP Firlej;Firlej;Rynek;15;Firlej;lubartowski;lubelskie
16-060;AP Folwarki Tylwickie;Folwarki Tylwickie;;7;Zabłudów;białostocki;podlaskie
23-440;UP Frampol;Frampol;Biłgorajska;23;Frampol;biłgorajski;lubelskie
11-320;AP Franknowo;Franknowo;;14 A;Jeziorany;olsztyński;warmińsko-mazurskie
16-500;AP Frącki;Frącki;;28A;Giby;sejneński;podlaskie
14-200;AP Frednowy;Frednowy;;19;Iława;iławski;warmińsko-mazurskie
37-734;UP Fredropol;Fredropol;;16;Fredropol;przemyski;podkarpackie
36-030;AP Futoma;Futoma;;177;Błażowa;rzeszowski;podkarpackie
28-400;AP Gacki;Gacki;;8a;Pińczów;pińczowski;świętokrzyskie
37-207;UP Gać;Gać;;275 a;Gać;przeworski;podkarpackie
18-404;AP Gać;Gać;;58;Łomża;łomżyński;podlaskie
11-214;AP Galiny;Galiny;;31;Bartoszyce;bartoszycki;warmińsko-mazurskie
49-202;AP Gałązczyce;Gałązczyce;;39A;Grodków;brzeski;opolskie
26-930;UP Garbatka-Letnisko;Garbatka-Letnisko;Jana Kochanowskiego;35;Garbatka-Letnisko;kozienicki;mazowieckie
26-920;FUP Garbatka-Letnisko;Gniewoszów;Rynek;42;Gniewoszów;kozienicki;mazowieckie
26-922;FUP Garbatka-Letnisko;Sieciechów;Kozienicka;1;Sieciechów;kozienicki;mazowieckie
11-430;AP Garbno;Garbno;;33;Korsze;kętrzyński;warmińsko-mazurskie
21-080;UP Garbów;Garbów;Krakowskie Przedmieście;52;Garbów;lubelski;lubelskie
76-213;AP Gardna Wielka;Gardna Wielka;Tadeusza Kościuszki;3;Smołdzino;słupski;pomorskie
08-401;AP Garwolin;Garwolin;Aleja Legionów;34;Garwolin;garwoliński;mazowieckie
08-400;AP Garwolin;Garwolin;Janusza Korczaka;1;Garwolin;garwoliński;mazowieckie
08-400;UP Garwolin 1;Garwolin;Kościuszki;41;Garwolin;garwoliński;mazowieckie
08-412;FUP Garwolin 1;Borowie;Aleksandra Sasimowskiego;2;Borowie;garwoliński;mazowieckie
08-404;FUP Garwolin 1;Górzno;Bankowa;2;Górzno;garwoliński;mazowieckie
08-441;FUP Garwolin 1;Parysów;Kościuszki;28;Parysów;garwoliński;mazowieckie
39-307;UP Gawłuszowice;Gawłuszowice;;5a;Gawłuszowice;mielecki;podkarpackie
16-412;AP Gawrych Ruda;Gawrych Ruda;;95A;Suwałki;suwalski;podlaskie
09-530;UP Gąbin;Gąbin;Płocka;1;Gąbin;płocki;mazowieckie
09-520;FUP Gąbin;Łąck;Kolejowa;2;Łąck;płocki;mazowieckie
62-023;AP Gądki;Gądki;Zbożowa;5;Kórnik;poznański;wielkopolskie
66-235;AP Gądków Wielki;Gądków Wielki;Dworcowa;12/1;Torzym;sulęciński;lubuskie
19-400;AP Gąski;Gąski;;40;Olecko;olecki;warmińsko-mazurskie
80-182;AP Gdańsk;Gdańsk;Konstantego Bergiela;4a/14;Gdańsk;Gdańsk;pomorskie
80-294;AP Gdańsk;Gdańsk;Bulońska;16/8;Gdańsk;Gdańsk;pomorskie
80-690;AP Gdańsk;Gdańsk;Tytusa Chałubińskiego;39;Gdańsk;Gdańsk;pomorskie
80-125;AP Gdańsk;Gdańsk;Damroki;1F/2;Gdańsk;Gdańsk;pomorskie
80-416;AP Gdańsk;Gdańsk;al. gen. Józefa Hallera;132;Gdańsk;Gdańsk;pomorskie
80-174;AP Gdańsk;Gdańsk;Lubowidzka;41;Gdańsk;Gdańsk;pomorskie
80-254;AP Gdańsk;Gdańsk;Partyzantów;72;Gdańsk;Gdańsk;pomorskie
80-181;AP Gdańsk;Gdańsk;Płocka;6;Gdańsk;Gdańsk;pomorskie
80-299;AP Gdańsk;Gdańsk;Spacerowa;48;Gdańsk;Gdańsk;pomorskie
80-295;AP Gdańsk;Gdańsk;Wodnika;79;Gdańsk;Gdańsk;pomorskie
80-800;UP Gdańsk 1;Gdańsk;pl. Obrońców Poczty Polskiej;1/2;Gdańsk;Gdańsk;pomorskie
80-700;UP Gdańsk 2;Gdańsk;Podwale Grodzkie;2;Gdańsk;Gdańsk;pomorskie
80-504;UP Gdańsk 4;Gdańsk;ks. Mariana Góreckiego;12;Gdańsk;Gdańsk;pomorskie
80-955;UP Gdańsk 4;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-865;FUP Gdańsk 4;Gdańsk;Marynarki Polskiej;132;Gdańsk;Gdańsk;pomorskie
80-504;FUP Gdańsk 4;Gdańsk;Oliwska;35;Gdańsk;Gdańsk;pomorskie
80-305;UP Gdańsk 5;Gdańsk;Stary Rynek Oliwski;18;Gdańsk;Gdańsk;pomorskie
80-953;UP Gdańsk 5;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-340;FUP Gdańsk 5;Gdańsk;al. Grunwaldzka;611;Gdańsk;Gdańsk;pomorskie
80-327;FUP Gdańsk 5;Gdańsk;Piotra Norblina;23;Gdańsk;Gdańsk;pomorskie
80-329;FUP Gdańsk 5;Gdańsk;Piastowska;90 e;Gdańsk;Gdańsk;pomorskie
80-345;FUP Gdańsk 5;Gdańsk;Pomorska;84;Gdańsk;Gdańsk;pomorskie
80-348;FUP Gdańsk 5;Gdańsk;Subisława;24;Gdańsk;Gdańsk;pomorskie
80-206;UP Gdańsk 6;Gdańsk;al. Grunwaldzka;108;Gdańsk;Gdańsk;pomorskie
80-952;UP Gdańsk 6;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-465;FUP Gdańsk 6;Gdańsk;Franciszka Hynka;6;Gdańsk;Gdańsk;pomorskie
80-463;FUP Gdańsk 6;Gdańsk;al. Jana Pawła II;5;Gdańsk;Gdańsk;pomorskie
80-411;FUP Gdańsk 6;Gdańsk;Adama Mickiewicza;1/3;Gdańsk;Gdańsk;pomorskie
80-460;FUP Gdańsk 6;Gdańsk;Pilotów;3;Gdańsk;Gdańsk;pomorskie
80-473;FUP Gdańsk 6;Gdańsk;Podkarpacka;1;Gdańsk;Gdańsk;pomorskie
80-403;FUP Gdańsk 6;Gdańsk;Racławicka;7 A;Gdańsk;Gdańsk;pomorskie
80-212;FUP Gdańsk 6;Gdańsk;ks. Bernarda Sychty;6;Gdańsk;Gdańsk;pomorskie
80-213;FUP Gdańsk 6;Gdańsk;al. Zwycięstwa;47;Gdańsk;Gdańsk;pomorskie
80-472;FUP Gdańsk 6;Gdańsk;Żwirki i Wigury;12;Gdańsk;Gdańsk;pomorskie
80-097;UP Gdańsk 7;Gdańsk;Krzemowa;2;Gdańsk;Gdańsk;pomorskie
80-097;FUP Gdańsk 7;Gdańsk;Królowej Jadwigi;137;Gdańsk;Gdańsk;pomorskie
80-608;UP Gdańsk 8;Gdańsk;Wilhelma Stryjewskiego;19;Gdańsk;Gdańsk;pomorskie
80-791;FUP Gdańsk 8;Gdańsk;Teofila Lenartowicza;4 A;Gdańsk;Gdańsk;pomorskie
80-009;UP Gdańsk 9;Gdańsk;Gościnna;6;Gdańsk;Gdańsk;pomorskie
80-009;FUP Gdańsk 9;Gdańsk;Trakt św. Wojciecha;434;Gdańsk;Gdańsk;pomorskie
80-190;UP Gdańsk 16;Gdańsk;Gronostajowa;4;Gdańsk;Gdańsk;pomorskie
80-190;FUP Gdańsk 16;Gdańsk;Szczęśliwa;3;Gdańsk;Gdańsk;pomorskie
80-118;UP Gdańsk 18;Gdańsk;Kartuska;94;Gdańsk;Gdańsk;pomorskie
80-820;UP Gdańsk 20;Gdańsk;Bernarda Milskiego;1;Gdańsk;Gdańsk;pomorskie
80-962;UP Gdańsk 20;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-424;UP Gdańsk 24;Gdańsk;Kielnieńska;125;Gdańsk;Gdańsk;pomorskie
80-299;FUP Gdańsk 24;Gdańsk;Mieczysława Niedziałkowskiego;3;Gdańsk;Gdańsk;pomorskie
80-507;UP Gdańsk 26;Gdańsk;Mazurska;10;Gdańsk;Gdańsk;pomorskie
80-506;FUP Gdańsk 26;Gdańsk;al. gen. Józefa Hallera;233;Gdańsk;Gdańsk;pomorskie
80-680;UP Gdańsk 40;Gdańsk;Nadwiślańska;24;Gdańsk;Gdańsk;pomorskie
80-180;UP Gdańsk 42;Gdańsk;Świętokrzyska;62;Gdańsk;Gdańsk;pomorskie
83-009;FUP Gdańsk 42;Borkowo;Współczesna;1;Pruszcz Gdański;gdański;pomorskie
80-180;FUP Gdańsk 42;Gdańsk;Konrada Guderskiego;2;Gdańsk;Gdańsk;pomorskie
80-183;FUP Gdańsk 42;Gdańsk;Niepołomicka;32;Gdańsk;Gdańsk;pomorskie
80-158;FUP Gdańsk 42;Gdańsk;Warszawska;59;Gdańsk;Gdańsk;pomorskie
80-298;UP Gdańsk 43;Gdańsk;Złota Karczma;26;Gdańsk;Gdańsk;pomorskie
80-256;FUP Gdańsk 43;Gdańsk;Budowlanych;31 D;Gdańsk;Gdańsk;pomorskie
80-473;FUP Gdańsk 43;Gdańsk;Juliusza Słowackiego;200;Gdańsk;Gdańsk;pomorskie
80-250;UP Gdańsk 44;Gdańsk;Zofii Nałkowskiej;3;Gdańsk;Gdańsk;pomorskie
80-126;FUP Gdańsk 44;Gdańsk;Piekarnicza;21/1;Gdańsk;Gdańsk;pomorskie
80-172;FUP Gdańsk 44;Gdańsk;Franciszka Schuberta;102 A;Gdańsk;Gdańsk;pomorskie
80-169;UP Gdańsk 48;Gdańsk;Ignacego Paderewskiego;11;Gdańsk;Gdańsk;pomorskie
80-801;UP Gdańsk 50;Gdańsk;Długa;23/28;Gdańsk;Gdańsk;pomorskie
80-958;UP Gdańsk 50;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-876;FUP Gdańsk 50;Gdańsk;Tytusa Chałubińskiego;25;Gdańsk;Gdańsk;pomorskie
80-792;FUP Gdańsk 50;Gdańsk;Długie Ogrody;47;Gdańsk;Gdańsk;pomorskie
80-715;FUP Gdańsk 50;Gdańsk;Łąkowa;7;Gdańsk;Gdańsk;pomorskie
80-832;FUP Gdańsk 50;Gdańsk;Nowe Ogrody;8/12;Gdańsk;Gdańsk;pomorskie
80-810;FUP Gdańsk 50;Gdańsk;Okopowa;21/27;Gdańsk;Gdańsk;pomorskie
80-837;FUP Gdańsk 50;Gdańsk;Straganiarska;28/30;Gdańsk;Gdańsk;pomorskie
80-814;FUP Gdańsk 50;Gdańsk;Jana Styp-Rekowskiego;14;Gdańsk;Gdańsk;pomorskie
80-825;FUP Gdańsk 50;Gdańsk;Szeroka;98;Gdańsk;Gdańsk;pomorskie
80-806;FUP Gdańsk 50;Gdańsk;Targ Rakowy;7/8;Gdańsk;Gdańsk;pomorskie
80-223;UP Gdańsk 53;Gdańsk;Czerwony Dwór;17;Gdańsk;Gdańsk;pomorskie
80-323;FUP Gdańsk 53;Gdańsk;Kołobrzeska;5-7;Gdańsk;Gdańsk;pomorskie
80-325;FUP Gdańsk 53;Gdańsk;Kołobrzeska;48C;Gdańsk;Gdańsk;pomorskie
80-334;FUP Gdańsk 53;Gdańsk;Obrońców Wybrzeża;2;Gdańsk;Gdańsk;pomorskie
80-326;FUP Gdańsk 53;Gdańsk;Szczecińska;2/2;Gdańsk;Gdańsk;pomorskie
80-961;FUP Gdańsk 53;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
83-002;PP Gdańsk G102;Gdańsk;Handlowa;4;Gdańsk;Gdańsk;pomorskie
32-420;UP Gdów;Gdów;;1096;Gdów;wielicki;małopolskie
81-033;AP Gdynia;Gdynia;Chylońska;65;Gdynia;Gdynia;pomorskie
81-155;AP Gdynia;Gdynia;płk. Stanisława Dąbka;232;Gdynia;Gdynia;pomorskie
81-578;AP Gdynia;Gdynia;Stanisława Filipkowskiego;20/U-2;Gdynia;Gdynia;pomorskie
81-472;AP Gdynia;Gdynia;Legionów;119 D/3 U;Gdynia;Gdynia;pomorskie
81-603;AP Gdynia;Gdynia;Leona Staniszewskiego;15/4;Gdynia;Gdynia;pomorskie
81-570;AP Gdynia;Gdynia;Waniliowa;6;Gdynia;Gdynia;pomorskie
81-301;UP Gdynia 1;Gdynia;10 Lutego;10;Gdynia;Gdynia;pomorskie
81-963;UP Gdynia 1;skrytki/przegródki;;;Gdynia;Gdynia;pomorskie
81-607;FUP Gdynia 1;Gdynia;Atlasa;3;Gdynia;Gdynia;pomorskie
81-354;FUP Gdynia 1;Gdynia;pl. Konstytucji;1;Gdynia;Gdynia;pomorskie
81-624;FUP Gdynia 1;Gdynia;2 Morskiego Pułku Strzelców;11;Gdynia;Gdynia;pomorskie
81-660;FUP Gdynia 1;Gdynia;Narcyzowa;1/10;Gdynia;Gdynia;pomorskie
81-611;FUP Gdynia 1;Gdynia;Wielkokacka;2/26;Gdynia;Gdynia;pomorskie
81-315;FUP Gdynia 1;Gdynia;Witomińska;2;Gdynia;Gdynia;pomorskie
81-308;FUP Gdynia 1;Gdynia;Władysława IV;43;Gdynia;Gdynia;pomorskie
81-198;FUP Gdynia 1;Kosakowo;Hieronima Derdowskiego;73/2;Kosakowo;pucki;pomorskie
81-320;UP Gdynia 2;Gdynia;pl. Konstytucji;2;Gdynia;Gdynia;pomorskie
81-103;UP Gdynia 3;Gdynia;Podchorążych;10;Gdynia;Gdynia;pomorskie
81-192;FUP Gdynia 3;Gdynia;Cechowa;8;Gdynia;Gdynia;pomorskie
81-004;UP Gdynia 4;Gdynia;Chylońska;124;Gdynia;Gdynia;pomorskie
81-040;FUP Gdynia 4;Gdynia;Bławatna;11 A/1U;Gdynia;Gdynia;pomorskie
81-007;FUP Gdynia 4;Gdynia;Chylońska;235/1;Gdynia;Gdynia;pomorskie
81-005;FUP Gdynia 4;Gdynia;Kcyńska;27;Gdynia;Gdynia;pomorskie
81-209;FUP Gdynia 4;Gdynia;Morska;99;Gdynia;Gdynia;pomorskie
81-290;FUP Gdynia 4;Gdynia;Ludwika Zamenhofa;15;Gdynia;Gdynia;pomorskie
81-106;UP Gdynia 6;Gdynia;adm. J.Unruga;39;Gdynia;Gdynia;pomorskie
81-197;FUP Gdynia 6;Gdynia;Ikara;9;Gdynia;Gdynia;pomorskie
81-188;FUP Gdynia 6;Gdynia;Bolesława Romanowskiego;24 A;Gdynia;Gdynia;pomorskie
81-510;UP Gdynia 10;Gdynia;al. Zwycięstwa;254;Gdynia;Gdynia;pomorskie
81-513;FUP Gdynia 10;Gdynia;pl. Górnośląski;8/1;Gdynia;Gdynia;pomorskie
81-570;UP Gdynia 11;Gdynia;Nagietkowa;13 A;Gdynia;Gdynia;pomorskie
81-414;UP Gdynia 14;Gdynia;Harcerska;15;Gdynia;Gdynia;pomorskie
81-420;FUP Gdynia 14;Gdynia;Boh. Starówki Warszawskiej;6;Gdynia;Gdynia;pomorskie
81-516;UP Gdynia 16;Gdynia;Chwaszczyńska;22;Gdynia;Gdynia;pomorskie
81-919;FUP Gdynia 16;Gdynia;Gryfa Pomorskiego;56UB /2;Gdynia;Gdynia;pomorskie
81-516;FUP Gdynia 16;Gdynia;Korzenna;15;Gdynia;Gdynia;pomorskie
81-577;FUP Gdynia 16;Gdynia;Nowowiczlińska;35;Gdynia;Gdynia;pomorskie
21-205;AP Gęś;Gęś;;96A;Jabłoń;parczewski;lubelskie
16-506;AP Giby;Giby;;b/n;Giby;sejneński;podlaskie
59-631;AP Giebułtów;Giebułtów;;136;Mirsk;lwówecki;dolnośląskie
11-036;UP Gietrzwałd;Gietrzwałd;Olsztyńska;2;Gietrzwałd;olsztyński;warmińsko-mazurskie
62-402;AP Giewartów;Giewartów;Kwiatowa;16;Ostrowite;słupecki;wielkopolskie
34-322;UP Gilowice;Gilowice;Krakowska;40;Gilowice;żywiecki;śląskie
11-030;AP Giławy;Giławy;;1;Purda;olsztyński;warmińsko-mazurskie
63-308;UP Gizałki;Gizałki;Kaliska;23;Gizałki;pleszewski;wielkopolskie
11-504;AP Giżycko;Giżycko;Targowy Pl.;1;Giżycko;giżycki;warmińsko-mazurskie
11-500;UP Giżycko 1;Giżycko;Pocztowa;2;Giżycko;giżycki;warmińsko-mazurskie
11-500;FUP Giżycko 1;Giżycko;Aleja Wojska Polskiego;8;Giżycko;giżycki;warmińsko-mazurskie
11-507;FUP Giżycko 1;skrytki/przegródki;;;Giżycko;giżycki;warmińsko-mazurskie
11-500;FUP Giżycko 1;Giżycko;Daszyńskiego;28 A;Giżycko;giżycki;warmińsko-mazurskie
11-508;FUP Giżycko 1;Giżycko;Królowej Jadwigi;4/2;Giżycko;giżycki;warmińsko-mazurskie
11-612;FUP Giżycko 1;Kruklanki;Dworcowa;3;Kruklanki;giżycki;warmińsko-mazurskie
11-513;FUP Giżycko 1;Miłki;Mazurska;2;Miłki;giżycki;warmińsko-mazurskie
06-450;UP Glinojeck;Glinojeck;gen. Józefa Bema;1;Glinojeck;ciechanowski;mazowieckie
44-102;AP Gliwice;Gliwice;Królowej Jadwigi;2/U1;Gliwice;Gliwice;śląskie
44-100;AP Gliwice;Gliwice;Krupnicza;8;Gliwice;Gliwice;śląskie
44-102;AP Gliwice;Gliwice;Lipowa;61;Gliwice;Gliwice;śląskie
44-104;AP Gliwice;Gliwice;al. Majowa;10B;Gliwice;Gliwice;śląskie
44-100;AP Gliwice;Gliwice;Mikołowska;22;Gliwice;Gliwice;śląskie
44-108;AP Gliwice;Gliwice;Odrowążów;101Ł;Gliwice;Gliwice;śląskie
44-101;AP Gliwice;Gliwice;Pszczyńska;9;Gliwice;Gliwice;śląskie
44-112;AP Gliwice;Gliwice;Sztabu Powstańczego;5b;Gliwice;Gliwice;śląskie
44-110;AP Gliwice;Gliwice;Ludwika Waryńskiego;1;Gliwice;Gliwice;śląskie
44-100;UP Gliwice 1;Gliwice;Zwycięstwa;28;Gliwice;Gliwice;śląskie
44-100;FUP Gliwice 1;Gliwice;Ignacego Daszyńskiego;152;Gliwice;Gliwice;śląskie
44-107;FUP Gliwice 1;Gliwice;Kozielska;6;Gliwice;Gliwice;śląskie
44-100;FUP Gliwice 1;Gliwice;Łanowa;2;Gliwice;Gliwice;śląskie
44-102;UP Gliwice 2;Gliwice;Bohaterów Getta Warszawskiego;14;Gliwice;Gliwice;śląskie
44-106;FUP Gliwice 2;Gliwice;Chorzowska;1;Gliwice;Gliwice;śląskie
44-151;FUP Gliwice 2;Gliwice;Ignacego Daszyńskiego;500;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;pl. Jaśminu;2;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;Lipowa;1;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;Łabędzka;26;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;al. Jana Nowaka-Jeziorańskiego;1;Gliwice;Gliwice;śląskie
44-111;FUP Gliwice 2;Gliwice;Obrońców Poczty Gdańskiej;10;Gliwice;Gliwice;śląskie
44-115;FUP Gliwice 2;Gliwice;Pszczyńska;315;Gliwice;Gliwice;śląskie
44-105;FUP Gliwice 2;Gliwice;Tarnogórska;231;Gliwice;Gliwice;śląskie
